GCAM_commodity,commodity
Corn,cereals
FiberCrop,oilseeds_and_pulses
Fruits,fruits_and_vegetables
Legumes,oilseeds_and_pulses
MiscCrop,fruits_and_vegetables
NutsSeeds,fruits_and_vegetables
OilCrop,oilseeds_and_pulses
OtherGrain,cereals
PalmFruit,oilseeds_and_pulses
Rice,cereals
RootTuber,roots_and_tubers
Soybean,oilseeds_and_pulses
SugarCrop,cereals
Vegetables,fruits_and_vegetables
Wheat,cereals
Beef,meat
Dairy,milk
Pork,meat
Poultry,meat
SheepGoat,meat
OtherMeat_Fish,fish_and_seafood
